Time,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,IndexId
20:07:16,750.51,382.92,11.86,101.73,0,0,0,37
20:07:16,690.59,382.63,6.94,56.96,0,0,0,38
20:07:16,797.73,385.92,14.26,102.48,0,0,0,39
20:07:16,790.57,387.93,10.9,114.43,0,0,0,40
20:07:16,683.78,388.24,4.17,68.63,0,0,0,41
20:07:16,755.25,382.11,12.51,77.6,0,0,0,42
20:07:16,808.35,385.46,12.91,115.17,0,0,0,43
20:07:16,701.94,381.59,7.69,81.78,0,0,0,44
20:07:16,713.24,381.12,5.99,62.2,0,0,0,45
20:07:16,814.17,381.8,13.48,110.93,0,0,0,46
20:07:16,748.78,384.55,8.19,101.9,0,0,0,47
20:07:16,685.3,384.21,5.01,58.95,0,0,0,48
20:07:16,789.17,386.51,13.93,98.47,0,0,0,49
20:07:16,783.42,384.41,10.81,110.43,0,0,0,50
20:07:16,684.87,386.75,6.27,65.98,0,0,0,51
20:07:16,752.58,383.95,11.63,75.29,0,0,0,52
20:07:16,808.55,390.28,13.48,118.88,0,0,0,53
20:07:16,708.34,385.31,7.38,87.33,0,0,0,54
20:07:16,714.29,391.14,10.55,71.16,0,0,0,55
20:07:16,813.93,387.69,14.09,117.89,0,0,0,56
20:07:16,744.44,379.61,10.64,101.74,0,0,0,57
20:07:16,683.49,378.65,6.65,54.66,0,0,0,58
20:07:17,792.18,381.37,12.63,92.38,0,0,0,59
20:07:17,784.03,380.16,10.04,109,0,0,0,60
20:07:17,680.94,378.34,5.69,57.56,0,0,0,61
20:07:17,756.17,382,10.53,78.52,0,0,0,62
20:07:17,807.61,383.52,11.1,118.3,0,0,0,63
20:07:17,706.53,379.89,6.12,79.14,0,0,0,64
20:07:17,709.9,378.19,7.57,57.8,0,0,0,65
20:07:17,809.24,382.41,14.27,105.63,0,0,0,66
20:07:17,747.67,380.15,10.18,94.71,0,0,0,67
20:07:17,684.06,378.26,8.29,54.61,0,0,0,68
20:07:17,796.36,378.79,12.46,94.88,0,0,0,69
20:07:17,789.56,382.89,11.83,111.38,0,0,0,70
20:07:17,685.11,378.43,8.3,64.06,0,0,0,71
20:07:17,755.51,381.2,12.88,77.6,0,0,0,72
20:07:17,809.86,381.84,13.23,116.52,0,0,0,73
20:07:17,710.73,380.11,6.39,79.96,0,0,0,74
20:07:17,715.37,381.34,9.71,62.58,0,0,0,75
20:07:17,813.66,385.17,14.14,111.97,0,0,0,76
20:07:17,748.62,379.96,8.86,103.47,0,0,0,77
20:07:17,688.18,386.63,6.46,57.22,0,0,0,78
20:07:17,796.23,384.63,11.21,95.4,0,0,0,79
20:07:17,783.97,382.74,12.89,113.7,0,0,0,80
20:07:17,685.57,385.72,2.86,65.55,0,0,0,81
20:07:17,753.48,388.21,11.81,81.71,0,0,0,82
20:07:17,813.03,387.5,14.21,122.32,0,0,0,83
20:07:17,711.22,390.06,5.79,89.74,0,0,0,84
20:07:17,712.97,389.67,5.42,67.68,0,0,0,85
20:07:17,813.64,393.15,14.71,116.4,0,0,0,86
20:07:17,747.25,389.43,10.33,104.24,0,0,0,87
20:07:17,685,391.81,6.67,60.06,0,0,0,88
20:07:17,792.4,391.42,11.7,95.17,0,0,0,89
20:07:17,788.55,389.85,11.38,113.17,0,0,0,90
20:07:17,680.76,389.09,6.09,67.42,0,0,0,91
