TS,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,,IndexId
20:25:25,982.54,319.62,-61.93,-386.53,0,0,0,,184
20:25:25,1008.87,306.22,-90.54,-418.43,0,0,0,,185
20:25:25,947.97,271.73,-125.25,-455.77,0,0,0,,186
20:25:25,969.33,300.85,-69.89,-392,0,0,0,,187
20:25:25,1011.3,341.3,-73.65,-402.46,0,0,0,,188
20:25:25,962.82,289.93,-126.24,-454.81,0,0,0,,189
20:25:25,948.67,269.18,-90.02,-417.2,0,0,0,,190
20:25:25,1001.59,342.13,-59.53,-388.96,0,0,0,,191
20:25:25,983.11,319.81,-108.86,-440.15,0,0,0,,192
20:25:25,944.19,299.79,-103.82,-433.91,0,0,0,,193
20:25:25,991.06,291.37,-55.16,-384.6,0,0,0,,194
20:25:25,998.86,319.8,-92.7,-425.34,0,0,0,,195
20:25:25,942.54,281.2,-132.88,-456.68,0,0,0,,196
20:25:25,973.74,299.29,-59.67,-390.66,0,0,0,,197
20:25:25,1011.78,353.26,-67.33,-399.17,0,0,0,,198
20:25:25,968.01,287.74,-121.26,-446.37,0,0,0,,199
20:25:25,948.83,308.75,-86.34,-412.75,0,0,0,,200
20:25:25,1016.67,337.82,-46.71,-377.83,0,0,0,,0
20:25:25,982.86,309.53,-108.11,-440.61,0,0,0,,1
20:25:25,938.5,254.21,-121.38,-448.33,0,0,0,,2
20:25:25,981.51,332.97,-59.04,-390.29,0,0,0,,3
20:25:25,998.52,322.58,-95.23,-431.55,0,0,0,,4
20:25:25,951.15,283.09,-122.09,-453.39,0,0,0,,5
20:25:25,967.1,287.53,-71.49,-398.66,0,0,0,,6
20:25:25,1006.12,322.3,-76.13,-409.16,0,0,0,,7
20:25:25,965.53,310.91,-122.24,-451.22,0,0,0,,8
20:25:25,952.09,274.76,-89.88,-417.2,0,0,0,,9
20:25:25,1001.89,332.36,-62.72,-390.83,0,0,0,,10
20:25:25,979.49,311.6,-106.04,-439.64,0,0,0,,11
20:25:25,941.83,283.03,-105.93,-435.39,0,0,0,,12
